CUSTOMER_ID,CHURNED_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100002,0.4217737973938535,0,NO,0%
C100003,0.7225723326613539,1,NO,0%
C100004,0.6173500601954728,1,NO,0%
C100005,0.6490559008572555,1,NO,0%
C100009,0.5407649053166127,1,NO,0%
C100019,0.2683651858567868,0,NO,0%
C100021,0.3590492202644007,0,NO,0%
C100026,0.8697332944634623,1,NO,0%
C100033,0.3657667973405061,0,NO,0%
C100034,0.5051689702047951,1,NO,0%
C100039,0.2124850621320249,0,NO,0%
C100040,0.7252652828204278,1,NO,0%
C100042,0.5302319822595503,1,NO,0%
C100046,0.2833521219630901,0,NO,0%
C100047,0.31376038178637566,0,NO,0%
C100052,0.6170700608429229,1,NO,0%
C100055,0.6658203453156084,1,NO,0%
C100058,0.3384969751081853,0,NO,0%
C100060,0.4216667480608285,0,NO,0%
C100069,0.5767910307390902,1,NO,0%
C100072,0.18000751991268144,0,NO,0%
C100078,0.7012547933165997,1,NO,0%
C100095,0.5911182820797626,1,NO,0%
C100100,0.8004903813712971,1,NO,0%
C100107,0.23357019888658032,0,NO,0%
C100108,0.7368114044805332,1,NO,0%
C100110,0.21182222651924357,0,NO,0%
C100115,0.4730624735669645,0,NO,0%
C100116,0.5305556655694718,1,NO,0%
C100128,0.7943910535861773,1,NO,0%
C100133,0.5767979852534176,1,NO,0%
C100139,0.47984972720463637,0,NO,0%
C100140,0.4856488921184567,0,YES,0%
C100142,0.24133530507334974,0,NO,0%
C100145,0.8440569017903754,1,NO,0%
C100149,0.49350284175686704,0,NO,0%
C100160,0.7940593079628159,1,NO,0%
C100166,0.6332702006114788,1,NO,0%
C100167,0.8240679360098728,1,NO,0%
C100168,0.6937967108385493,1,NO,0%
C100170,0.37616871288727455,0,NO,0%
C100175,0.8445246343453808,1,NO,0%
C100177,0.8609011815310695,1,NO,0%
C100180,0.673401354833625,1,NO,0%
C100182,0.6293309750859916,1,NO,0%
C100185,0.08820336905654326,0,NO,0%
C100187,0.7522483938785375,1,NO,0%
C100191,0.1781222512175847,0,NO,0%
C100192,0.22018076917336182,0,NO,0%
C100193,0.47273484150833167,0,NO,0%
C100194,0.7904923944165884,1,NO,0%
C100196,0.1471241052773091,0,NO,0%
C100198,0.6161452353148499,1,NO,0%
C100199,0.7301139332915766,1,NO,0%
C100207,0.5495331710522886,1,NO,0%
C100208,0.3850962485429224,0,YES,0%
C100210,0.12388383717225865,0,NO,0%
C100211,0.6589936789083779,1,NO,0%
C100212,0.34293620648731754,0,NO,0%
C100217,0.596758855480413,1,NO,0%
C100224,0.5233037311836062,1,NO,0%
