CUSTOMER_ID,CHURNED_PROBABILITY,CHURN_LABEL,CLIENT_TO_CONTACT,DISCOUNT
C100002,0.9304822087287903,1,NO,0%
C100003,0.6853437423706055,1,NO,0%
C100004,0.6253657937049866,1,NO,0%
C100005,0.7981169819831848,1,NO,0%
C100009,0.40049538016319275,0,NO,0%
C100019,0.3127247095108032,0,NO,0%
C100021,0.21067477762699127,0,NO,0%
C100026,0.8450194597244263,1,NO,0%
C100033,0.03686360642313957,0,NO,0%
C100034,0.5129192471504211,1,NO,0%
C100039,0.2604585289955139,0,NO,0%
C100040,0.8657286763191223,1,NO,0%
C100042,0.4698655307292938,0,NO,0%
C100046,0.45045214891433716,0,NO,0%
C100047,0.10398514568805695,0,NO,0%
C100052,0.8346866965293884,1,NO,0%
C100055,0.5605792999267578,1,NO,0%
C100058,0.2608197331428528,0,NO,0%
C100060,0.8653870820999146,1,NO,0%
C100069,0.3575471341609955,0,NO,0%
C100072,0.13108205795288086,0,NO,0%
C100078,0.5348590612411499,1,NO,0%
C100095,0.4483664333820343,0,NO,0%
C100100,0.6318049430847168,1,NO,0%
C100107,0.25494739413261414,0,NO,0%
C100108,0.3688933551311493,0,NO,0%
C100110,0.11341165006160736,0,NO,0%
C100115,0.6828162670135498,1,NO,0%
C100116,0.1592136174440384,0,NO,0%
C100128,0.7502344250679016,1,NO,0%
C100133,0.810034453868866,1,NO,0%
C100139,0.42285826802253723,0,NO,0%
C100140,0.15441523492336273,0,NO,0%
C100142,0.4890417158603668,0,NO,0%
C100145,0.8104523420333862,1,NO,0%
C100149,0.5197545886039734,1,NO,0%
C100160,0.6663129329681396,1,NO,0%
C100166,0.9225986003875732,1,NO,0%
C100167,0.7453145384788513,1,NO,0%
C100168,0.6936392188072205,1,NO,0%
C100170,0.16183245182037354,0,NO,0%
C100175,0.8203475475311279,1,NO,0%
C100177,0.7707878947257996,1,NO,0%
C100180,0.4689702093601227,0,NO,0%
C100182,0.317441463470459,0,NO,0%
C100185,0.4134710431098938,0,NO,0%
C100187,0.8250880837440491,1,NO,0%
C100191,0.1503855139017105,0,NO,0%
C100192,0.08903416246175766,0,NO,0%
C100193,0.44172751903533936,0,NO,0%
C100194,0.40350764989852905,0,NO,0%
C100196,0.1396331936120987,0,NO,10%
C100198,0.7314411401748657,1,NO,0%
C100199,0.7020999193191528,1,NO,0%
C100207,0.5751530528068542,1,NO,0%
C100208,0.32043179869651794,0,YES,0%
C100210,0.6079588532447815,1,NO,0%
C100211,0.6978047490119934,1,NO,0%
C100212,0.1279004067182541,0,NO,0%
C100217,0.37856143712997437,0,NO,0%
C100224,0.20088882744312286,0,NO,0%
C100229,0.1585974246263504,0,NO,0%
C100237,0.21540425717830658,0,NO,0%
C100241,0.35502639412879944,0,NO,0%
C100244,0.36440908908843994,0,NO,0%
C100245,0.5933066010475159,1,NO,0%
C100247,0.29934871196746826,0,NO,0%
C100253,0.6048828363418579,1,NO,0%
C100254,0.7171308398246765,1,NO,0%
C100258,0.34606999158859253,0,NO,0%
C100260,0.4900504946708679,0,NO,0%
C100261,0.5413163900375366,1,NO,0%
C100265,0.0964791476726532,0,NO,0%
C100267,0.22855135798454285,0,NO,10%
C100269,0.8581746220588684,1,NO,0%
C100273,0.4478113353252411,0,NO,0%
C100285,0.42591235041618347,0,NO,0%
C100291,0.6487812399864197,1,NO,0%
C100296,0.7718819975852966,1,NO,0%
C100301,0.2552008330821991,0,NO,0%
C100302,0.3944028615951538,0,YES,0%
C100304,0.0945962518453598,0,NO,0%
C100305,0.1935434490442276,0,NO,0%
C100310,0.5961313843727112,1,NO,0%
C100311,0.1656648814678192,0,NO,0%
C100312,0.6737905144691467,1,NO,0%
C100320,0.17235170304775238,0,NO,0%
C100324,0.1168946921825409,0,NO,0%
C100327,0.7683573365211487,1,NO,0%
C100328,0.782929003238678,1,NO,0%
C100329,0.2729196846485138,0,NO,0%
C100332,0.39798787236213684,0,NO,0%
C100334,0.43669751286506653,0,NO,0%
C100336,0.5857921242713928,1,NO,0%
C100339,0.4632803499698639,0,NO,0%
C100346,0.18341781198978424,0,NO,0%
C100355,0.5161060690879822,1,NO,0%
C100358,0.5250849723815918,1,NO,0%
C100363,0.8431000113487244,1,NO,0%
C100365,0.9303511381149292,1,NO,0%
C100372,0.11525480449199677,0,NO,0%
C100376,0.19836300611495972,0,NO,0%
C100379,0.42464932799339294,0,NO,0%
C100382,0.8545427918434143,1,NO,0%
C100386,0.5207350254058838,1,NO,0%
C100389,0.5004334449768066,1,NO,0%
C100396,0.18140292167663574,0,NO,0%
C100401,0.2347247451543808,0,NO,0%
C100403,0.16497737169265747,0,NO,0%
C100408,0.3036024868488312,0,NO,0%
C100409,0.829853892326355,1,NO,0%
C100416,0.258004367351532,0,NO,0%
C100424,0.41298651695251465,0,NO,0%
C100428,0.5689626932144165,1,NO,0%
C100432,0.37885457277297974,0,YES,0%
C100436,0.8729010820388794,1,NO,0%
C100438,0.3387611508369446,0,NO,0%
C100443,0.8117668628692627,1,NO,0%
C100445,0.8605086803436279,1,NO,0%
C100449,0.2750263810157776,0,NO,0%
C100454,0.9647229909896851,1,NO,0%
C100455,0.22603750228881836,0,NO,0%
C100458,0.5483604669570923,1,NO,0%
C100464,0.7491505742073059,1,NO,0%
C100465,0.1018466204404831,0,NO,0%
C100467,0.2739734947681427,0,NO,0%
C100468,0.27927497029304504,0,NO,0%
C100469,0.5278400778770447,1,NO,0%
C100478,0.35510000586509705,0,YES,0%
C100480,0.6078243255615234,1,NO,0%
C100483,0.31926703453063965,0,NO,0%
C100487,0.12738454341888428,0,NO,0%
C100490,0.7641473412513733,1,NO,0%
C100502,0.8476534485816956,1,NO,0%
C100506,0.6680323481559753,1,NO,0%
C100517,0.08287553489208221,0,NO,0%
C100525,0.20177312195301056,0,NO,0%
C100533,0.435695081949234,0,NO,0%
C100537,0.6079588532447815,1,NO,0%
C100546,0.9332305788993835,1,NO,0%
C100554,0.20390544831752777,0,NO,0%
C100563,0.6865174174308777,1,NO,0%
C100564,0.13906104862689972,0,NO,0%
C100571,0.49450168013572693,0,NO,0%
C100573,0.8990986943244934,1,NO,0%
C100575,0.1924666315317154,0,NO,0%
C100576,0.5256568193435669,1,NO,0%
C100578,0.5208820104598999,1,NO,0%
C100580,0.12577641010284424,0,NO,0%
C100588,0.23600280284881592,0,NO,0%
C100589,0.532884418964386,1,NO,0%
C100595,0.39308178424835205,0,NO,0%
C100598,0.44661998748779297,0,NO,0%
C100599,0.28264546394348145,0,NO,0%
C100600,0.6888718008995056,1,NO,0%
C100608,0.518921434879303,1,NO,0%
C100611,0.622561514377594,1,NO,0%
C100613,0.6513475179672241,1,NO,0%
C100617,0.5602152943611145,1,NO,0%
C100619,0.9718288779258728,1,NO,0%
C100625,0.8546203374862671,1,NO,0%
C100627,0.3432011008262634,0,NO,0%
C100630,0.7275094389915466,1,NO,0%
C100631,0.1169058233499527,0,NO,0%
C100632,0.19329509139060974,0,NO,0%
C100640,0.13677120208740234,0,NO,0%
C100643,0.27704542875289917,0,NO,0%
C100647,0.06002522632479668,0,NO,0%
C100648,0.5249282121658325,1,NO,0%
C100649,0.7785555720329285,1,NO,0%
C100651,0.5845710635185242,1,NO,0%
C100659,0.4936525523662567,0,YES,0%
C100663,0.1255204826593399,0,NO,0%
C100665,0.5566551089286804,1,NO,0%
C100667,0.22876788675785065,0,NO,0%
C100669,0.7667446136474609,1,NO,0%
C100679,0.04424208775162697,0,NO,0%
C100687,0.04882359877228737,0,NO,0%
C100697,0.44824206829071045,0,NO,0%
C100698,0.24754926562309265,0,NO,0%
C100702,0.36103418469429016,0,NO,0%
C100708,0.4156167805194855,0,NO,0%
C100711,0.2600315511226654,0,NO,0%
C100713,0.06443920731544495,0,NO,0%
C100714,0.45896029472351074,0,NO,0%
C100723,0.21985891461372375,0,NO,0%
C100731,0.7746235728263855,1,NO,0%
C100733,0.1279004067182541,0,NO,0%
C100735,0.3201328217983246,0,NO,0%
C100736,0.4836309552192688,0,NO,0%
C100748,0.28215840458869934,0,NO,0%
C100756,0.4542989432811737,0,YES,0%
C100758,0.07699865102767944,0,NO,0%
C100761,0.23978640139102936,0,NO,0%
C100765,0.4563366174697876,0,NO,0%
C100766,0.2052517533302307,0,NO,0%
C100767,0.15233653783798218,0,NO,0%
C100775,0.6030710339546204,1,NO,0%
C100776,0.44517576694488525,0,NO,0%
C100782,0.31857773661613464,0,NO,0%
C100793,0.25631552934646606,0,NO,0%
C100795,0.09585694968700409,0,NO,0%
C100801,0.7963083386421204,1,NO,0%
C100806,0.22937461733818054,0,NO,0%
C100810,0.7846715450286865,1,NO,0%
C100812,0.3381153345108032,0,NO,0%
C100817,0.6264804005622864,1,NO,0%
C100818,0.3932962119579315,0,NO,0%
C100826,0.1504863202571869,0,NO,0%
C100831,0.10854217410087585,0,NO,0%
C100836,0.21540425717830658,0,NO,0%
C100838,0.353961706161499,0,NO,0%
C100840,0.9897915124893188,1,NO,0%
C100841,0.8873699307441711,1,NO,0%
C100847,0.8483446836471558,1,NO,0%
C100850,0.7089730501174927,1,NO,0%
C100854,0.81197589635849,1,NO,0%
C100858,0.21222372353076935,0,NO,0%
C100860,0.1935034841299057,0,NO,0%
C100861,0.9463866949081421,1,NO,0%
