CUSTOMER_ID,COLLEGE,DATA,INCOME,OVERAGE,LEFTOVER,HOUSE,LESSTHAN600k,CHILD,JOB_CLASS,REVENUE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,TIME_CLIENT,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,CHURNED
C100000,one,98.95052473763118,39541.0,67,50,264285,True,2,2,188.0,331,5,1.2,1,avg,very_high,considering,LEAVE
C100001,zero,153.31491712707185,29272.0,164,46,839238,False,2,3,123.0,247,18,2.7,2,very_sat,very_high,no,STAY
C100006,one,480.0,26741.5,0,12,434476,True,0,4,104.0,361,0,2.6,4,very_unsat,very_little,actively_looking_into_it,STAY
C100007,one,288.46153846153845,80548.5,160,0,286499,True,3,2,195.0,622,19,1.5,10,very_sat,very_little,actively_looking_into_it,LEAVE
C100008,zero,132.35294117647058,32202.0,0,24,269768,True,2,2,108.0,345,1,2.5,5,unsat,little,considering,STAY
C100010,one,720.0,48135.0,0,50,300139,True,1,4,184.0,382,1,2.4,2,unsat,little,actively_looking_into_it,LEAVE
C100011,one,416.0583941605839,56646.0,54,12,354156,True,2,2,164.0,744,4,3.8,5,very_sat,little,no,STAY
C100012,one,1260.0,13494.0,0,19,430599,True,0,1,150.0,168,1,3.2,4,very_unsat,very_little,no,STAY
C100013,zero,189.873417721519,72267.5,216,0,414892,True,0,4,101.0,420,20,2.0,14,very_sat,very_little,considering,LEAVE
C100014,zero,1050.0,47228.5,0,0,995388,False,3,3,153.0,313,0,2.5,14,sat,high,considering,STAY
C100015,one,840.0,14912.5,0,0,205843,True,3,3,262.0,183,1,1.8,8,very_unsat,little,considering,STAY
C100016,zero,166.15384615384616,33746.0,225,0,907142,False,2,2,205.0,496,23,1.8,10,avg,very_high,never_thought,STAY
C100017,zero,366.66666666666663,93513.0,170,0,232263,True,2,4,103.0,421,21,3.3,15,very_unsat,little,actively_looking_into_it,LEAVE
C100018,one,130.43478260869566,57198.0,207,13,326356,True,3,1,251.0,298,21,1.9,5,avg,little,actively_looking_into_it,LEAVE
C100020,zero,151.89873417721518,32869.5,0,69,478111,True,2,3,85.0,380,0,4.0,2,unsat,very_high,no,LEAVE
C100022,zero,330.00000000000006,65641.0,0,0,167124,True,5,4,133.0,726,4,2.1,13,avg,little,considering,STAY
C100023,zero,210.0,75832.5,0,70,939641,False,2,4,141.0,749,1,3.6,2,unsat,very_little,considering,LEAVE
C100024,zero,471.4285714285715,45305.0,0,18,768218,False,2,2,298.0,205,1,3.4,5,very_unsat,avg,considering,STAY
