State,South/North,Budget 2016-2017 (in Crores)
Maharashtra,North,2257032.00
Andhra Pradesh,South,1357184.00
Tamil Nadu,South,1270490.00
Uttar Pradesh,North,1250213.00
Gujarat,North,1162287.00
Karnataka,South,1155912.00
West Bengal,North,879167.00
Rajasthan,North,759234.00
Madhya Pradesh,North,647303.00
Kerala,South,621700.00
Delhi,North,616825.00
Haryana,North,547396.00
Punjab,North,428340.00
Bihar,North,425887.00
Odisha,North,377201.00
Chhattisgarh,North,262263.00
Assam,North,254341.00
Jharkhand,North,235560.00
Uttarakhand,North,191866.00
Jammu and Kashmir,North,126846.00
Himachal Pradesh,North,126020.00
Goa,North,62661.00
Tripura,North,39612.00
Chandigarh,North,31823.00
Puducherry,South,29279.00
Meghalaya,North,27228.00
Nagaland,North,21487.00
Manipur,North,21065.00
Arunachal Pradesh,North,20207.00
Sikkim,North,20020.00
Mizoram,North,17613.00
Andaman and Nicobar Islands,South,6649.00
