State,North/South,Tax revenue in Billions
Maharashtra,North,4518.00
Andhra Pradesh and Telangana,South,3234.00
Uttar Pradesh,North,2964.00
Delhi,North,2958.00
Tamil Nadu,South,2734.00
Karnataka,South,2526.00
Gujarat,North,1796.00
West Bengal,North,1699.00
Rajasthan,North,1507.00
Kerala,South,1382.00
Haryana,North,1363.00
Madhya Pradesh,North,1272.00
Punjab,North,1180.00
Chhattisgarh,North,724.00
Jharkhand,North,707.00
Odisha,North,662.00
Bihar,North,370.00
Jammu and Kashmir,North,346.00
Assam,North,322.00
Uttarakhand,North,322.00
Himachal Pradesh,North,274.00
Goa,North,233.00
Tripura,North,47.25
Meghalaya,North,45.92
Arunachal Pradesh,North,27.11
Manipur,North,26.85
Nagaland,North,17.76
Mizoram,North,15.47
Sikkim,North,13.68
